Date,Competition,Home Team,Home Score,Away Team,Away Score,Result,Wins,Losses,Draws,Win Percentage
24/09/2016,UEFA Champions League · Group Stage,Celtic,3,Man City,3,D,,,,
28/09/2016,Premier League,Tottenham,2,Man City,0,L,,,,
02/10/2016,Premier League,Man City,1,Everton,1,D,,,,
15/10/2016,UEFA Champions League · Group Stage,Barcelona,4,Man City,0,L,,,,
19/10/2016,Premier League,Man City,1,Southampton,1,D,,,,
23/10/2016,EFL Cup Round of 16,Man United,1,Man City,0,L,,,,
26/10/2016,Premier League,West Brom,0,Man City,4,W,,,,
29/10/2016,Premier League,Man City,2,Sunderland,1,W,,,,
16/08/2016,UEFA Champions League · Play-off · Leg 1 of 2,FCSB,0,Man City,5,W,,,,
20/08/2016,UEFA Champions League · Play-off · Leg 2 of 2,Man City,1,FCSB,0,W,,,,
24/08/2016,Premier League,Man City,3,West Ham,1,W,,,,
28/08/2016,Premier League,Man United,1,Man City,2,W,,,,
10/09/2016,UEFA Champions League · Group Stage,Man City,4,Mönchengladbach,0,W,,,,
14/09/2016,Premier League,Man City,4,Bournemouth,0,W,,,,
17/09/2016,EFL Cup · Third round,Swansea,1,Man City,2,W,,,,
21/09/2016,Premier League,Swansea,1,Man City,3,W,,,,
24/09/2016,UEFA Champions League · Group Stage,Celtic,3,Man City,3,D,,,,
28/09/2016,Premier League,Tottenham,2,Man City,0,L,,,,
02/10/2016,Premier League,Man City,1,Everton,1,D,,,,
15/10/2016,UEFA Champions League · Group Stage,Barcelona,4,Man City,0,L,,,,
19/10/2016,Premier League,Man City,1,Southampton,1,D,,,,
23/10/2016,EFL Cup · Round of 16,Man United,1,Man City,0,L,,,,
26/10/2016,Premier League,West Brom,0,Man City,4,W,,,,
29/10/2016,UEFA Champions League · Group Stage,Man City,3,Barcelona,1,W,,,,
01/11/2016,Premier League,Man City,1,Middlesbrough,1,D,,,,
05/11/2016,Premier League,Crystal Palace,1,Man City,2,W,,,,
19/11/2016,UEFA Champions League · Group Stage,Mönchengladbach,1,Man City,1,D,,,,
23/11/2016,Premier League,Burnley,1,Man City,2,W,,,,
26/11/2016,Premier League,Man City,1,Chelsea,3,L,,,,
03/12/2016,UEFA Champions League · Group Stage,Man City,1,Celtic,1,D,,,,
06/12/2016,Premier League,Leicester City,4,Man City,2,L,,,,
10/12/2016,Premier League,Man City,2,Watford,0,W,,,,
14/12/2016,Premier League,Man City,2,Arsenal,1,W,,,,
18/12/2016,Premier League,Hull City,0,Man City,3,W,,,,
26/12/2016,Premier League,Liverpool,1,Man City,0,L,,,,
31/12/2016,Premier League,Man City,2,Burnley,1,W,,,,
02/01/2017,FA Cup · 3rd Round,West Ham,0,Man City,5,W,,,,
06/01/2017,Premier League,Everton,4,Man City,0,L,,,,
15/01/2017,Premier League,Man City,2,Tottenham,2,D,,,,
21/01/2017,FA Cup · 4th Round,Crystal Palace,0,Man City,3,W,,,,
28/01/2017,Premier League,West Ham,0,Man City,4,W,,,,
01/02/2017,Premier League,Man City,2,Swansea,1,W,,,,
05/02/2017,Premier League,Bournemouth,0,Man City,2,W,,,,
13/02/2017,FA Cup · 5th Round,Huddersfield,0,Man City,0,D,,,,
18/02/2017,UEFA Champions League · Round of 16 · Leg 1 of 2,Man City,5,Monaco,3,W,,,,
